Lieferant;Artikel-Nummer;Artikel;Menge;Einheit;matched_material;matched_category;similarity_score;matched_oeko_unit;calculated_co2e_a1_a3;calculated_co2e_a4;total_co2e;calculation_status
Sülzle Stahlpartner GmbH;ZL52;Positionszuschlag Betonstahl;14086.0;Stk;Pelletkessel 20-120 kW;'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger';0.0951;pcs.;0.0;1126.88;1126.88;Error: Unit 'pcs.' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;99996;CO2-Zuschlag;6253.5;m³;EGGER Design-Boden;'Holz' / 'Holzböden' / 'Mehrschichtig modulare Bodenbeläge';0.092;qm;0.0;500.28;500.28;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;99992;Energiekostenzuschlag;6248.75;m³;Fenster - heroal-Johann Henkenjohann GmbH & Co. KG - W77 Aluminiumfenster (EN 15804+A2);'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Metallfenster';0.0871;qm;0.0;499.9;499.9;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;101;Mautzuschlag pro m³;6241.25;m³;V2 M 3600-930HE SWI 3CUC MSP WH WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0904;pcs.;0.0;499.3;499.3;Error: Unit 'pcs.' not supported
Sülzle Stahlpartner GmbH;SBAS13;Abstandhalter  SBA - S 13;4890.0;Stk;DuPont? Tyvek® Airguard® Smart (2009B);'Kunststoffe' / 'Folien und Vliese' / 'Dampfbremse / Dampfsperre';0.0964;qm;0.0;391.2;391.2;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;ZL42;Stehbügel;4607.0;Stk;RESCLITE PRO MSC ESC90 E1DG5 WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.1056;pcs.;0.0;368.56;368.56;Error: Unit 'pcs.' not supported
Sülzle Stahlpartner GmbH;SBAS12;Abstandhalter  SBA - S 12;4220.0;Stk;Beton C30/37 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA5234-DSZK Version 1, Transportbetonwerk Mönchengladbach, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.09;m3;297.3788;337.6;634.9788;Success: m³ unit
Sülzle Stahlpartner GmbH;ZL44;Biegegruppe  I I;3574.0;Stk;Beton C30/37 XC4 XF1 XA1 F3 16 M EcoPact, Rezept Nummer DA5234-DSZK Version 1, Transportbetonwerk Langenfeld, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0932;m3;249.4233;285.92;535.3433;Success: m³ unit
Sülzle Stahlpartner GmbH;ZL64;Aufpreis Matten schneiden längs;3367.0;kg;Europa 200x100x60 mm Holzkohle, Mix Design ID: Bur/EW60/1,5 RMCBP11, Werk: Barton, Vereinigtes Königreich;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0849;qm;0.0;269.36;269.36;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;15342100;C25/30 XC4/XF1 F4 16 M Außenbauteile;3293.75;m³;TECTON C LED5500-840 L1500 WB LDE WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0824;pcs.;0.0;263.5;263.5;Error: Unit 'pcs.' not supported
Sülzle Stahlpartner GmbH;B428;Betonstahl B 500 B  28,00 mm;3111.0;kg;EPD Kunststoffdachfenster - Roto Frank DST - Designo 2fach-Verglasung;'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Kunststofffenster';0.0913;qm;0.0;248.88;248.88;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;TEXTILHEBEBÄNDER;Textilhebebänder;2769.0;Stk;Elektromechanisches Zubehör - SIEGENIA-AUBI KG - Smarter Fenstergriff;'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Fenstergriffe';0.0894;pcs.;0.0;221.52;221.52;Error: Unit 'pcs.' not supported
Sülzle Stahlpartner GmbH;ZL45;Biegegruppe  I I I;2243.0;Stk;Beton C30/37 XC4 XF1 XA1 F3 16 M EcoPact, Rezept Nummer DA5234-DSFS Version 1, Transportbetonwerk Frankfurt, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0815;m3;164.8434;179.44;344.2834;Success: m³ unit
Sülzle Stahlpartner GmbH;ZLST;Zuschlag Staffeleisen;2084.0;Stk;Recycling Transportbeton C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0808;m3;195.6759;166.72;362.3959;Success: m³ unit
KRAFT Baustoffe GmbH;0170790201;Nevoga Faserbeton Schlange 25mmo. Noppen Länge 80cm;1750.0;Stk;StoVentec Glass A;'Komposite' / 'Systembauteile' / 'Aussenwände';0.0858;qm;0.0;140.0;140.0;Error: Unit 'qm' not supported
BayWa AG;1490796;EXTE BETON-SCHLANGE M.NOPPEN BSN 25-80;1573.0;Stk;Schnittholz Eiche (generisch, 12% Feuchte/10.7% H2O);'Holz' / 'Vollholz' / 'Bau-Schnittholz';0.0902;m3;0.0;125.84;125.84;Success: m³ unit
Rohrdorfer Transportbeton Rosenheim-Söchtenau GmbH;99996;CO2-Zuschlag;1464.25;m³;EGGER Design-Boden;'Holz' / 'Holzböden' / 'Mehrschichtig modulare Bodenbeläge';0.092;qm;0.0;117.14;117.14;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton Rosenheim-Söchtenau GmbH;99992;Energiekostenzuschlag;1463.75;m³;Fenster - heroal-Johann Henkenjohann GmbH & Co. KG - W77 Aluminiumfenster (EN 15804+A2);'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Metallfenster';0.0871;qm;0.0;117.1;117.1;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton Rosenheim-Söchtenau GmbH;918;Mautumlage/m³;1463.75;m³;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNMS Version 1, Transportbetonwerk Merzig, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0849;m3;91.5683;117.1;208.6683;Success: m³ unit
Sülzle Stahlpartner GmbH;SBAS16;Abstandhalter  SBA - S 16;1375.0;Stk;Lüftungskanal (verzinktes Stahlblech);'Gebäudetechnik' / 'Klimatisierung und Lüftung' / 'Zubehör';0.0822;kg;4213.7311;110.0;4323.7311;Success: kg unit
BayWa AG;1490798;EXTE BETON-SCHLANGE M.NOPPEN BSN 35-80;1243.0;Stk;RAVATHERM? XPS (X) Isolierung aus extrudiertem Polystyrolschaum mit halogenfreiem Treibmittel;'Dämmstoffe' / 'Extrudiertes Polystyrol (XPS)' / 'XPS weiß';0.0961;m3;3390.765;99.44;3490.205;Success: m³ unit
Sülzle Stahlpartner GmbH;SBAS22;Abstandhalter  SBA - S 22;1150.0;Stk;Tür - heroal-Johann Henkenjohann GmbH & Co. KG - Aluminium-Objekttür (EN 15804+A2);'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';0.0854;qm;0.0;92.0;92.0;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;30030;retard S-02;1007.555;m³;HIT-FP 700-R;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Kleber und Klebemörtel';0.0907;kg;1062.1734;80.6044;1142.7778;Success: kg unit
Rohrdorfer Transportbeton München GmbH & Co. KG;105;Saisonzuschlag;1005.5;m³;Vormauerziegel;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Ziegel';0.0911;m3;310.1427;80.44;390.5827;Success: m³ unit
Schneebecke & Dorn + Co. GmbH;REY009348100120000;Sechskantmutter M12;1000.0;Stk;ZOE VARIO 200 2000 830/835/840 DALI;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0927;pcs.;0.0;80.0;80.0;Error: Unit 'pcs.' not supported
Berger Bau- und Industriebedarf GmbH;36341;PVC Montageplatten 2mm;1000.0;Stk;Recycling Transportbeton C20/25;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0941;m3;93.8944;80.0;173.8944;Success: m³ unit
HTI Gienger KG;GEODRENGRK35;Geotextil GEODREN GRK 3 150 gr. 5X100m;1000.0;m²;Bimssand;'Mineralische Baustoffe' / 'Zuschläge' / 'Bims';0.0842;kg;10.0884;80.0;90.0884;Success: kg unit
Berger Bau- und Industriebedarf GmbH;36331;PVC Montageplatten 3mm;1000.0;Stk;Vorhangfassade - VFF - Vorhangfassade aus Aluminiumprofilen;'Komponenten von Fenstern und Vorhangfassaden' / 'Fassaden' / 'Sonstige Fassaden';0.1086;qm;0.0;80.0;80.0;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;SBAS14;Abstandhalter  SBA - S 14;1000.0;Stk;Woburn Original 200x134x80 Graphit, Mix Design ID: LB5/EW80/3.3 RMCBP359 RMCBP360, Pflanze: Leighton Buzzard, Vereinigtes Königreich;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0907;qm;0.0;80.0;80.0;Error: Unit 'qm' not supported
Ganser Beton GmbH & Co. KG;99996;CO2-Zuschlag;812.75;Stk;EGGER Design-Boden;'Holz' / 'Holzböden' / 'Mehrschichtig modulare Bodenbeläge';0.092;qm;0.0;65.02;65.02;Error: Unit 'qm' not supported
Ganser Beton GmbH & Co. KG;101;Mautzuschlag pro m³;812.75;Stk;V2 M 3600-930HE SWI 3CUC MSP WH WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0904;pcs.;0.0;65.02;65.02;Error: Unit 'pcs.' not supported
Ganser Beton GmbH & Co. KG;99992;Energiekostenzuschlag;812.75;Stk;Fenster - heroal-Johann Henkenjohann GmbH & Co. KG - W77 Aluminiumfenster (EN 15804+A2);'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Metallfenster';0.0871;qm;0.0;65.02;65.02;Error: Unit 'qm' not supported
Schneebecke & Dorn + Co. GmbH;REY890910180050050;ART  89091 Holzbauschrauben CE Stahl          5;800.0;Stk;Beton C25/30 XC4 XF1 XA1 F3 32 L EcoPact, Rezept Nummer DA4332-DHZS Version 1, Transportbetonwerk Lünen, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0909;m3;48.1109;64.0;112.1109;Success: m³ unit
Sülzle Stahlpartner GmbH;ZL62;Positionszuschlag Matten;724.0;Stk;Walzplattiertes Grobblech mit Auflagen aus ferritischen nichtrostenden Stählen;'Metalle' / 'Stahl und Eisen' / 'Stahlbleche';0.097;kg;2154089.4026;57.92;2154147.3226;Success: kg unit
Sülzle Stahlpartner GmbH;SBA12;Abstandhalter  SBA 12;700.0;Stk;Therma? TW56;'Dämmstoffe' / 'Polyurethan-Hartschaum (PU)' / 'PU mit Aluminium';0.0771;qm;0.0;56.0;56.0;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;17742100;C35/45 XC4/XD2/XF2/XF3/XA2 F4 16 M Industriebau;693.5;m³;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer NI3234-BHZS Version 1, Transportbetonwerk Ginsheim-Gustavsburg, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0979;m3;39.6296;55.48;95.1096;Success: m³ unit
Holz Kogler GmbH & Co. KG;1170;FILM21 TOP-FORM;671.875;m²;Masterlite Ultra 100 3.6n, Mix Design ID: RMBLOCK28 MLU (1) 16/12/2024, Anlage: Callow, Vereinigtes Königreich;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0904;qm;0.0;53.75;53.75;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;104;Samstagszuschlag manuell;649.25;m³;Kunststoffteil aus laminiertem Polyesterharz (GFK, 30% Glasfaseranteil);'Kunststoffe' / 'Profile' / 'Kunststoffprofile hart';0.0907;kg;2308.9018;51.94;2360.8418;Success: kg unit
HTI Gienger KG;DRMWAS7;Dränagematte Secudrain WAS7  1,90 x  35m;598.5;m²;Therma? TR24;'Dämmstoffe' / 'Polyurethan-Hartschaum (PU)' / 'PIR-Hartschaum';0.079;qm;0.0;47.88;47.88;Error: Unit 'qm' not supported
Holz Kogler GmbH & Co. KG;374;ELLI20;562.5;m²;Nadelschnittholz - frisch (Durchschnitt DE);'Holz' / 'Vollholz' / 'Bau-Schnittholz';0.0871;m3;0.0;45.0;45.0;Success: m³ unit
Rohrdorfer Transportbeton München GmbH & Co. KG;15342200;C25/30 XC4/XF1 F4 16 S Außenbauteile;559.75;m³;ARGUS halbhohe Sensorbarrieren;'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Aluminium';0.0902;pcs.;0.0;44.78;44.78;Error: Unit 'pcs.' not supported
Holz Kogler GmbH & Co. KG;1194;RAUSPUND BRÜCKE;512.0;m²;Edelstahl-Trinkwasserrohr;'Metalle' / 'Edelstahl' / 'Edelstahl Trinkwasserrohre';0.1014;kg;1870.7618;40.96;1911.7218;Success: kg unit
Schneebecke & Dorn + Co. GmbH;REY090210100105000;DIN   9021 Stahl 140 HV    10,5         galv. verz;500.0;Stk;Entwässerungstechnik - Viega GmbH & Co. KG - Abläufe für Spülen, Ausgüsse und Geräte;'Gebäudetechnik' / 'Sanitär' / 'Armaturen';0.0909;pcs.;0.0;40.0;40.0;Error: Unit 'pcs.' not supported
Berger Bau- und Industriebedarf GmbH;36338;PVC Montageplatten 10mm;500.0;Stk;CL2 S 6200-840 M600L SG MP LDO;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.093;pcs.;0.0;40.0;40.0;Error: Unit 'pcs.' not supported
Berger Bau- und Industriebedarf GmbH;36333;PVC Montageplatten 5mm;500.0;Stk;Vorwand-Spültechnik - Viega - Prevista Dry;'Gebäudetechnik' / 'Sanitär' / 'Armaturen';0.0831;pcs.;0.0;40.0;40.0;Error: Unit 'pcs.' not supported
Froschmeier GmbH & Co. Betriebs KG;0200;"Verbundspannstelle LW22, Typ ""A"" für Wanddicke 1500mm Wandstärke 1,5-fach! (ca. 12mm) bestehend aus:";500.0;Stk;EMconverterLED PRO 303 MH/LiFePO4 50V;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0878;pcs.;0.0;40.0;40.0;Error: Unit 'pcs.' not supported
Schneebecke & Dorn + Co. GmbH;EDE4317784181532;Drahtstift vers. blank;500.0;Stk;DPM ISO-Stroh - Stroh Einblasdämmung;'Dämmstoffe' / 'Stroh' / 'Strohfasern';0.083;m3;0.0;40.0;40.0;Success: m³ unit
Schneebecke & Dorn + Co. GmbH;EDE4317784181587;Drahtstift vers. blank;500.0;Stk;DPM ISO-Stroh - Stroh Einblasdämmung;'Dämmstoffe' / 'Stroh' / 'Strohfasern';0.083;m3;0.0;40.0;40.0;Success: m³ unit
Schneebecke & Dorn + Co. GmbH;HECO48453;MULTI-MONTI-plus SS 10,0 x 100, Sechskantkopf mit;500.0;Stk;PURESIGN 150 MSC/MRC SP2E002D WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0893;pcs.;0.0;40.0;40.0;Error: Unit 'pcs.' not supported
Schneebecke & Dorn + Co. GmbH;REY009348100100000;DIN    934 8      M 10         galv. verzinkt gal;500.0;Stk;Verbindungstechnik - Viega - Sanpress Inox G Pressverbinder;'Metalle' / 'Edelstahl' / 'Edelstahl Trinkwasserrohre';0.0966;kg;40950.0;40.0;40990.0;Success: kg unit
Rohrdorfer Transportbeton Rosenheim-Söchtenau GmbH;66742350;C30/37 XC4/XD2/XF2/XF3/XA2 16 L  ZTV-Ing.;480.0;m³;EGOSILICON 300 [FARBIG] ? EGOSILICON 310 ? EGOSILICON 351 [MATT] ? EGOSILICON 360 [MATT] ? EGOSILICON 365 [MATT] ? EGO SPIEGELKLEBER/ LACKGLASKLEBER ? EGOSILICON 400;'Kunststoffe' / 'Dichtmassen' / 'Silikon';0.0858;kg;2546.5563;38.4;2584.9563;Success: kg unit
Sülzle Stahlpartner GmbH;SBAS15;Abstandhalter  SBA - S 15;475.0;Stk;Rollladen Kunststoff;'Komponenten von Fenstern und Vorhangfassaden' / 'Füllungen' / 'Opake Füllungen';0.0932;qm;0.0;38.0;38.0;Error: Unit 'qm' not supported
Sülzle Stahlpartner GmbH;SBA16;Abstandhalter  SBA 16;400.0;Stk;ANNA VARIOFLEX 3 12x6 6600 830/35/40;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0999;pcs.;0.0;32.0;32.0;Error: Unit 'pcs.' not supported
HTI Gienger KG;AXPETRC3211;aduxa Druckrohr PE100RC 32x3,0 SDR11 TW;400.0;m;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNZK Version 1, Transportbetonwerk Brüggen Bracht, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0861;m3;25.3366;32.0;57.3366;Success: m³ unit
HTI Gienger KG;GEODRENGRK34;GEODREN Geotextil GRK 3 150gr. 4x100m;400.0;m²;EPDM Schaum (Rohrisolierung);'Gebäudetechnik' / 'Heizung' / 'Wärmeverteilung und Abgabe';0.0955;m3;1830.52;32.0;1862.52;Success: m³ unit
Sülzle Stahlpartner GmbH;SBAS26;Abstandhalter  SBA - S 26;400.0;Stk;Mixed-in-Place (MIP) Baustoff der Klasse 360-520;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Betonzusatzmittel';0.0804;m3;33.0526;32.0;65.0526;Success: m³ unit
Schneebecke & Dorn + Co. GmbH;REY890910180050100;ART  89091 Holzbauschrauben CE Stahl          5;400.0;Stk;Beton C25/30 XC4 XF1 XA1 F3 32 L EcoPact, Rezept Nummer DA4332-DHZS Version 1, Transportbetonwerk Lünen, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0909;m3;24.0554;32.0;56.0554;Success: m³ unit
Schneebecke & Dorn + Co. GmbH;REY890920100060050;ART 89092 Holzbauschrauben CE Stahl 6 x 50 -T30 ga;400.0;Stk;Objektbeschläge - HAFI Beschläge GmbH - Fenstergriffe mit Kugelrasterung;'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Fenstergriffe';0.086;pcs.;0.0;32.0;32.0;Error: Unit 'pcs.' not supported
Sülzle Stahlpartner GmbH;Q636;Baustahlgewebematte  Q 636 A;396.0;kg;Beton C30/37 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA5234-DSZS Version 1, Transportbetonwerk Lüdenscheid-Freisenberg, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0902;m3;29.0057;31.68;60.6857;Success: m³ unit
Rohrdorfer Transportbeton Oberland GmbH & Co. KG;13002;Mautzuschlag pro m³;387.0;m³;V2 M 3600-930HE SWI 3CUC MSP WH WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0904;pcs.;0.0;30.96;30.96;Error: Unit 'pcs.' not supported
Rohrdorfer Transportbeton Oberland GmbH & Co. KG;99996;CO2-Zuschlag;387.0;m³;EGGER Design-Boden;'Holz' / 'Holzböden' / 'Mehrschichtig modulare Bodenbeläge';0.092;qm;0.0;30.96;30.96;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton Oberland GmbH & Co. KG;99992;Energiekostenzuschlag;387.0;m³;Fenster - heroal-Johann Henkenjohann GmbH & Co. KG - W77 Aluminiumfenster (EN 15804+A2);'Komponenten von Fenstern und Vorhangfassaden' / 'Fenster' / 'Metallfenster';0.0871;qm;0.0;30.96;30.96;Error: Unit 'qm' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;17742200;C35/45 XC4/XD2/XF2/XF3/XA2 F4 16 S Industriebau;383.25;m³;Masterdenz 100 7.3n, Mix Design ID: RMBLOCK02 MAO (7) 1 16/12/2024, Pflanze: Callow, Vereinigtes Königreich;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0895;qm;0.0;30.66;30.66;Error: Unit 'qm' not supported
KRAFT Baustoffe GmbH;1030360049;Dörken Delta-EQ Drain 12.5x2.4mNoppenbahn m. Geotextil schwarz;360.0;m²;BEST 1E Series;'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen';0.0934;pcs.;0.0;28.8;28.8;Error: Unit 'pcs.' not supported
Sülzle Stahlpartner GmbH;SM16A;Peikko-Modix SM 16-Muffenteil A (CE 0432);352.0;Stk;Walzplattiertes Grobblech mit UNS N06625 / 2.4856 Auflage;'Metalle' / 'Stahl und Eisen' / 'Stahlbleche';0.0838;kg;1779963.9328;28.16;1779992.0928;Success: kg unit
Sülzle Stahlpartner GmbH;Q188;Baustahlgewebematte  Q 188 A;334.0;kg;Sika® ViscoCrete®-6720;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Betonzusatzmittel';0.0859;kg;124.2697;26.72;150.9897;Success: kg unit
Sülzle Stahlpartner GmbH;ZL49;Biegegruppe  I I;330.0;Stk;Beton C30/37 XC4 XF1 XA1 F3 16 M EcoPact, Rezept Nummer DA5234-DSZK Version 1, Transportbetonwerk Langenfeld, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0932;m3;23.0301;26.4;49.4301;Success: m³ unit
Sülzle Stahlpartner GmbH;SBAS18;Abstandhalter  SBA - S 18;325.0;Stk;Strohdämmung;'Dämmstoffe' / 'Stroh' / 'Strohballen';0.0965;m3;0.0;26.0;26.0;Success: m³ unit
Ganser Beton GmbH & Co. KG;105;Saisonzuschlag;309.5;Stk;Vormauerziegel;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Ziegel';0.0911;m3;95.4641;24.76;120.2241;Success: m³ unit
Froschmeier GmbH & Co. Betriebs KG;3121242;STABOX®  Typ  5L  8/15 L=1,25m, Hakenwinkelung quer zum Element;300.0;Stk;Vorwand-Spültechnik - Viega - Prevista Zubehör;'Gebäudetechnik' / 'Sanitär' / 'Sanitärkeramik';0.0741;pcs.;0.0;24.0;24.0;Error: Unit 'pcs.' not supported
Schneebecke & Dorn + Co. GmbH;RY007380101020100040;ISO   7380 -2  010.9    M 10 x  40         galv. v;300.0;Stk;CSK Curb Classic 914x145x255, Mix Design ID: HWA/ECSK/1.1, Pflanze: Hulland Ward, Vereinigtes Königreich;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0873;m;0.0;24.0;24.0;Error: Unit 'm' not supported
Rohrdorfer Transportbeton Rosenheim-Söchtenau GmbH;66742750;C30/37 XD2/XF3/XA2 F4 16 M ZTV-Ing.;295.25;m³;Beton C30/37 XC4 XF1 XA1 F3 16 M ECOPact, Rezept Nummer DA5234-DSZS Version 1, Transportbetonwerk Lüdenscheid-Freisenberg, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0919;m3;21.6261;23.62;45.2461;Success: m³ unit
Rohrdorfer Transportbeton Rosenheim-Söchtenau GmbH;30030;VZ dynamIQ retard S-02;294.3399999999999;m³;Dichtungsprofil - M.O.L. Gummiverarbeitung - Extrudierte Gummiprofile aus EPDM;'Komponenten von Fenstern und Vorhangfassaden' / 'Dichtungskomponenten / -materialien' / 'Dichtprofile';0.0897;kg;838.869;23.5472;862.4162;Success: kg unit
Sülzle Stahlpartner GmbH;ZL47;Ringe  mit  Endhaken;243.0;Stk;TECTON C LED5500-840 L1500 WB LDE WH;'Gebäudetechnik' / 'Elektro' / 'Beleuchtung';0.0855;pcs.;0.0;19.44;19.44;Error: Unit 'pcs.' not supported
Rohrdorfer Transportbeton München GmbH & Co. KG;17732100;C35/45 XC4/XD2/XF2/XF3/XA2 F3 16 M Industriebau;241.25;m³;Beton C25/30/XC2 ECOPact Prime/GK32/F45, Rezept Nummer EP71502004005 Version 1, Transportbetonwerk Langenzersdorf, Austria;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0843;m3;11.0997;19.3;30.3997;Success: m³ unit
Ganser Beton GmbH & Co. KG;17742200;C35/45 XC4/XD2/XF2/XF3/XA2 F4 16 S Industriebau;236.5;Stk;Masterdenz 100 7.3n, Mix Design ID: RMBLOCK02 MAO (7) 1 16/12/2024, Pflanze: Callow, Vereinigtes Königreich;'Mineralische Baustoffe' / 'Steine und Elemente' / 'Betonfertigteile und Betonwaren';0.0895;qm;0.0;18.92;18.92;Error: Unit 'qm' not supported
Stark Deutschland GmbH;1040846;RAW Zementmörtel 30 kg/Sa;210.0;Säcke;Schnittholz;'Holz' / 'Vollholz' / 'Bau-Schnittholz';0.0823;m3;0.0;16.8;16.8;Success: m³ unit
Rohrdorfer Transportbeton Rosenheim-Söchtenau GmbH;916;Mautumlage bei Selbstabholung;206.0;m³;Holcim Pur 4 R Sackware Werk Lägerdorf;'Mineralische Baustoffe' / 'Bindemittel' / 'Zement';0.088;kg;149689.1469;16.48;149705.6269;Success: kg unit
Peikko Deutschland GmbH;15210000;PSB Modified, PSB-12/175-3/390(65/130/130/65);200.0;Stk;Mehrschichtparkett (Parador GmbH);'Holz' / 'Holzböden' / 'Parkett';0.084;qm;0.0;16.0;16.0;Error: Unit 'qm' not supported
Schneebecke & Dorn + Co. GmbH;ITW050118;Hit M-P 6X30/5 Zylinderkopfs.;200.0;Stk;Geficell® Randdämmstreifen;'Dämmstoffe' / 'Polyethylen' / 'Schaum';0.0892;kg;669.4;16.0;685.4;Success: kg unit
Sülzle Stahlpartner GmbH;SBAS10;Abstandhalter  SBA - S 10;200.0;Stk;GreenWeave textilbasierter Lüftungskanal;'Gebäudetechnik' / 'Klimatisierung und Lüftung' / 'Zubehör';0.0982;kg;1297.962;16.0;1313.962;Success: kg unit
Schneebecke & Dorn + Co. GmbH;REY004400180135000;Beilagscheibe 13,5x44x4mm Groß und Dick;200.0;Stk;Getuftete Teppichbahnenware mit PP Polmaterial und textilem Rücken, LC3;'Kunststoffe' / 'Bodenbeläge' / 'Textile Bodenbeläge';0.1013;qm;0.0;16.0;16.0;Error: Unit 'qm' not supported
Schneebecke & Dorn + Co. GmbH;REY890910180050060;ART  89091 Holzbauschrauben CE Stahl          5;200.0;Stk;Beton C25/30 XC4 XF1 XA1 F3 32 L EcoPact, Rezept Nummer DA4332-DHZS Version 1, Transportbetonwerk Lünen, Germany;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Beton';0.0909;m3;12.0277;16.0;28.0277;Success: m³ unit
Adolf Würth GmbH & Co. KG;5929126025961  100;DBL-(W-BS/S)-(A2K)-SW13-5-25-6X60;200.0;Stk;Mixed-in-Place (MIP) Baustoff der Klasse 520-600;'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Betonzusatzmittel';0.0923;m3;20.8421;16.0;36.8421;Success: m³ unit
Schneebecke & Dorn + Co. GmbH;EDE4317784181549;Drahtstift vers. blank;200.0;Stk;DPM ISO-Stroh - Stroh Einblasdämmung;'Dämmstoffe' / 'Stroh' / 'Strohfasern';0.083;m3;0.0;16.0;16.0;Success: m³ unit
Stark Deutschland GmbH;492952;Mehrzweck-Dämmpl. EPS 035 DEO/WAB 1000x500 mm 20 mm >100 kPa;192.0;Stk;Aluminium Profil;'Metalle' / 'Aluminium' / 'Aluminiumprofil';0.085;kg;2092.21;15.36;2107.57;Success: kg unit
Froschmeier GmbH & Co. Betriebs KG;2200120;UFIX-Flächenstab m.A. 25mm PVC-frei Ausführung strong, DBV-/WU geprüft;192.0;Bündel;ED 100/ED 250;'Komponenten von Fenstern und Vorhangfassaden' / 'Antriebssysteme' / 'elektrisch';0.0855;pcs.;0.0;15.36;15.36;Error: Unit 'pcs.' not supported
